param nbutik :=          100 ;
param ngross :=           10 ;
param nbrygg :=            5 ;
param nmatr :=            3 ;
param nfpack :=            3 ;
param nlager :=           10 ;
#
param tomkost := 2 ;
param fullkost := 3 ;
param lagkost := 1 ;
param matrkop := 1 ;
param bristkost := 99999999 ;
param maxlager := 7;
#
param faktR := 0.7 ;
param faktM := 0.9 ;
param faktF := 1.5 ;
#
param : behov :=
          1          73
          2          22
          3          79
          4          11
          5          72
          6          42
          7          67
          8          65
          9          55
         10          45
         11          93
         12          95
         13          75
         14          59
         15          26
         16          20
         17          77
         18          78
         19          37
         20          26
         21          59
         22          16
         23          21
         24          79
         25          78
         26          40
         27          48
         28         103
         29          72
         30          62
         31          16
         32          40
         33          75
         34          78
         35          90
         36          97
         37          28
         38          51
         39          78
         40          41
         41          43
         42          10
         43          96
         44          77
         45         105
         46         102
         47          42
         48          38
         49          83
         50          72
         51          83
         52         105
         53          38
         54          94
         55          91
         56          69
         57          56
         58          68
         59          21
         60          77
         61         109
         62         109
         63          26
         64          11
         65         104
         66          91
         67          94
         68          74
         69         107
         70          98
         71          72
         72          34
         73          46
         74          27
         75          48
         76          67
         77          32
         78          33
         79         105
         80          66
         81          24
         82          58
         83          93
         84          79
         85          86
         86          13
         87          61
         88          49
         89          75
         90          90
         91          50
         92          16
         93          58
         94          34
         95          69
         96          43
         97          35
         98          60
         99          51
        100          53
 ;
param : netto :=
          1           3
          2           0
          3           2
          4           0
          5           5
          6           1
          7           3
          8           5
          9           1
         10           0
         11           4
         12           4
         13           2
         14           2
         15           1
         16           0
         17           4
         18           0
         19           3
         20           1
         21           1
         22           0
         23           0
         24           6
         25           6
         26           2
         27           1
         28           8
         29           1
         30           5
         31           1
         32           0
         33           3
         34           3
         35           0
         36           5
         37           1
         38           3
         39           6
         40           3
         41           1
         42           0
         43           8
         44           4
         45           2
         46           8
         47           1
         48           2
         49           2
         50           1
         51           6
         52           4
         53           2
         54           4
         55           7
         56           4
         57           1
         58           4
         59           1
         60           7
         61           9
         62           3
         63           1
         64           0
         65           1
         66           6
         67           5
         68           6
         69          10
         70           5
         71           4
         72           1
         73           3
         74           2
         75           0
         76           2
         77           2
         78           3
         79           2
         80           0
         81           0
         82           1
         83           2
         84           7
         85           6
         86           0
         87           3
         88           0
         89           5
         90           4
         91           2
         92           0
         93           5
         94           3
         95           4
         96           1
         97           3
         98           4
         99           0
        100           1
 ;
#
param : gkaptom :=
          1         426
          2         406
          3         558
          4         583
          5         476
          6         560
          7         317
          8         404
          9         583
         10         507
 ;
param : gkapfull :=
          1         426
          2         406
          3         258
          4         283
          5         476
          6         260
          7         317
          8         304
          9         283
         10         307
 ;
param : bkaptom :=
          1         421
          2         334
          3         486
          4         303
          5         265
 ;
param : bkapfull :=
          1         842
          2         668
          3         972
          4         206
          5         330
 ;
param : lkaptom :=
          1         906
          2         767
          3         968
          4         845
          5        1005
          6         718
          7         909
          8         934
          9         780
         10         743
 ;
#
param : fkostG :=
          1           9
          2          10
          3           9
          4           4
          5           7
          6           2
          7           7
          8          10
          9           9
         10           3
 ;
param : fkostB :=
          1          15
          2          12
          3          14
          4          13
          5           7
 ;
#
param : fkostL :=
          1         919
          2         661
          3         676
          4        1387
          5         695
          6         694
          7         889
          8        1431
          9         656
         10         610
 ;
#
param distBuG :
          1
          2
          3
          4
          5
          6
          7
          8
          9
         10
 :=
          1
         19
         72
         34
         31
         45
         45
         31
         27
         31
         29
          2
         26
         88
         55
         21
         43
         50
         38
         28
         37
         29
          3
         31
         76
         47
         15
         34
         43
         29
         21
         28
         21
          4
         41
         64
         38
         13
         23
         30
         20
         26
         24
         16
          5
         67
         24
         22
         62
         37
         29
         45
         46
         41
         54
          6
         26
         71
         49
         11
         37
         45
         27
         17
         27
         22
          7
         28
         57
         26
         39
         42
         42
         40
         25
         31
         32
          8
         57
         39
         40
         37
         22
         21
         31
         33
         27
         29
          9
         53
         31
         24
         44
         24
         18
         35
         34
         28
         32
         10
         26
         53
         22
         24
         25
         27
         16
          9
         14
         11
         11
         12
         74
         42
         38
         46
         47
         38
         33
         33
         35
         12
         68
         18
         35
         59
         35
         33
         47
         51
         42
         53
         13
         88
         16
         41
         73
         47
         42
         58
         68
         59
         60
         14
         31
         81
         51
         51
         60
         51
         50
         38
         39
         51
         15
         36
         63
         34
         12
         15
         27
         11
         12
         24
          7
         16
         51
         45
         32
         31
         10
         14
         18
         25
         22
         23
         17
         38
         47
         19
         29
          9
         15
         12
         12
          9
         20
         18
         89
         40
         57
         69
         52
         45
         56
         65
         57
         64
         19
         18
         79
         43
         23
         39
         49
         32
         27
         27
         26
         20
         50
         42
         34
         38
         16
         25
         21
         37
         29
         33
         21
         51
         24
         14
         46
         27
          9
         38
         39
         24
         32
         22
         70
         31
         40
         57
         37
         31
         45
         45
         44
         42
         23
         40
         45
         22
         27
         14
         20
         17
         14
          8
         17
         24
         24
         81
         51
         21
         41
         48
         33
         25
         37
         26
         25
         83
         20
         38
         64
         48
         34
         49
         58
         51
         56
         26
         29
         73
         52
         48
         57
         52
         50
         42
         46
         45
         27
         34
         57
         39
         13
         20
         34
         11
         16
         25
         13
         28
         79
         37
         52
         64
         40
         39
         52
         55
         51
         51
         29
         26
         83
         54
         18
         43
         52
         37
         26
         40
         32
         30
         24
         65
         37
          7
         18
         30
         14
         15
         20
          8
         31
         20
         76
         46
         40
         46
         55
         43
         36
         44
         38
         32
         35
         49
         23
         26
         13
         21
         14
          9
         12
         12
         33
         33
         49
         17
         37
         28
         21
         37
         28
         23
         33
         34
         81
         12
         40
         69
         49
         45
         56
         65
         59
         63
         35
         11
         70
         39
         29
         42
         41
         38
         22
         31
         34
         36
         76
         31
         49
         65
         39
         36
         53
         62
         50
         59
         37
         77
         19
         35
         58
         42
         29
         52
         53
         51
         51
         38
         42
         39
         11
         39
         21
         12
         21
         24
          9
         21
         39
         72
          9
         29
         67
         40
         34
         46
         56
         43
         54
         40
         46
         48
         18
         47
         41
         32
         42
         35
         27
         36
         41
         48
         31
         24
         39
         14
         13
         30
         27
         28
         26
         42
         68
          9
         33
         58
         43
         25
         54
         54
         41
         54
         43
         61
         22
         29
         63
         47
         32
         52
         51
         37
         50
         44
         86
         10
         41
         78
         59
         44
         63
         71
         64
         71
         45
         16
         66
         33
         24
         31
         35
         29
         12
         23
         20
         46
         40
         51
         34
         24
         17
         27
         10
         23
         24
         18
         47
         26
         50
         16
         31
         26
         27
         19
         11
         11
         17
         48
         76
         24
         42
         59
         40
         34
         51
         58
         46
         57
         49
         63
         19
         24
         61
         34
         26
         44
         46
         41
         48
         50
         58
         19
         19
         58
         36
         20
         40
         45
         33
         43
         51
         64
         24
         20
         58
         35
         26
         38
         40
         35
         40
         52
         34
         87
         58
         50
         66
         66
         59
         45
         57
         48
         53
         37
         44
         18
         31
          8
         10
         20
         24
         10
         17
         54
         15
         85
         51
         38
         59
         58
         48
         44
         45
         46
         55
         34
         42
         17
         34
         27
         15
         29
         24
         16
         23
         56
         61
         38
         37
         43
         18
         23
         26
         36
         29
         40
         57
         80
          9
         39
         76
         48
         38
         62
         61
         57
         60
         58
         74
         22
         36
         62
         48
         33
         50
         55
         50
         61
         59
          9
         84
         51
         34
         43
         52
         39
         30
         32
         35
         60
         92
         35
         60
         75
         48
         50
         55
         65
         57
         66
         61
         34
         56
         30
         24
         17
         22
         10
         14
          9
          9
         62
         49
         39
         17
         48
         31
         22
         36
         33
         28
         41
         63
         32
         53
         25
         24
         19
         21
         13
         10
         10
         20
         64
         74
         26
         38
         56
         29
         23
         41
         46
         41
         49
         65
         25
         69
         42
         46
         47
         52
         44
         40
         35
         43
         66
         12
         73
         43
         38
         44
         53
         39
         26
         35
         30
         67
         52
         50
         38
         33
         25
         27
         27
         35
         32
         30
         68
         30
         91
         59
         52
         57
         60
         59
         43
         54
         48
         69
         66
         31
         27
         48
         22
         18
         31
         43
         30
         36
         70
         32
         54
         20
         39
         30
         26
         28
         19
         15
         25
